s	U	lambda	mu0	mu1	mu2	mu3	theta0	theta1	theta2	theta3	transverse_min_eig
5.410087590222943943e-01	4.548944690901501886e-02	-3.962973247887877776e-02	2.813882548514531345e-01	2.980275277287064428e-01	2.875109224114308359e-01	2.052045616828899466e-01	1.025907655148994735e+00	1.086724033732916261e+00	1.047613174183823936e+00	7.477026433361453339e-01	2.968402113710772117e+00
5.469539102203416769e-01	4.524098327935621722e-02	-4.395162046137628814e-02	2.845120182644562123e-01	3.012013709790649085e-01	2.907137478145766507e-01	2.074984392400732180e-01	1.035299117655999579e+00	1.096186745297979215e+00	1.057182943194014735e+00	7.545614652333799688e-01	3.017501640869085122e+00
5.528990614183888486e-01	4.496689890861804706e-02	-4.824824752775715153e-02	2.876325856475075438e-01	3.043738921568073796e-01	2.939194946498864813e-01	2.097943308471989510e-01	1.044691693873755156e+00	1.105658210550398923e+00	1.066777248845224069e+00	7.614375405544254738e-01	3.067771251064644211e+00
5.588442126164360202e-01	4.466735333355309479e-02	-5.251645988878685806e-02	2.907499584378579471e-01	3.075451236384510456e-01	2.971281462209914848e-01	2.120922126470834723e-01	1.054087011884763836e+00	1.115140256508397210e+00	1.076397736202547195e+00	7.683319996728350532e-01	3.119243114182921328e+00
5.647893638144831918e-01	4.434252495256729709e-02	-5.675306554209542942e-02	2.938641386787104737e-01	3.107150965301978540e-01	3.003396858864090246e-01	2.143920616774417087e-01	1.063486721686703884e+00	1.124634726145259389e+00	1.086046071219957998e+00	7.752459910608179294e-01	3.171950820361721490e+00
5.707345150125303634e-01	4.399261126316911241e-02	-6.095483079921294733e-02	2.969751289516993076e-01	3.138838406952687565e-01	3.035540971001915445e-01	2.166938558655829572e-01	1.072892496728325984e+00	1.134143480370314983e+00	1.095723942771372084e+00	7.821806826119703793e-01	3.225929452367131134e+00
5.766796662105775351e-01	4.361782912042178051e-02	-6.511847669157705409e-02	3.000829323121133596e-01	3.170513847811601837e-01	3.067713634506780140e-01	2.189975740222055434e-01	1.082306035517835774e+00	1.143668400075135150e+00	1.105433064740170446e+00	7.891372630074479089e-01	3.281215662671771227e+00
5.826248174086248177e-01	4.321841501714107636e-02	-6.924067524493651704e-02	3.031875522266969103e-01	3.202177562467061200e-01	3.099914686975038247e-01	2.213031958344869321e-01	1.091729063308563896e+00	1.153211388250206859e+00	1.115175178173479331e+00	7.961169431303822819e-01	3.337847755589001597e+00
5.885699686066719893e-01	4.279462538667611060e-02	-7.331804561090428385e-02	3.062889925138570502e-01	3.233829813888347005e-01	3.132143968070015827e-01	2.236107018586331874e-01	1.101163333867097416e+00	1.162774372177793447e+00	1.124952053507800143e+00	8.031209575335086504e-01	3.395865774847412588e+00
5.945151198047191610e-01	4.234673692912693799e-02	-7.734715004364184354e-02	3.093872572861272041e-01	3.265470853689312891e-01	3.164401319861367412e-01	2.259200735120515113e-01	1.110610631329472797e+00	1.172359305707112220e+00	1.134765492873011095e+00	8.101505659652534774e-01	3.455311597024203873e+00
6.004602710027663326e-01	4.187504696198207643e-02	-8.132448970881803185e-02	3.124823508947230377e-01	3.297100922387110056e-01	3.196686587150983638e-01	2.282312930652819205e-01	1.120072772151467388e+00	1.181968171618474450e+00	1.144617332482167571e+00	8.172070549597632017e-01	3.516229031293403029e+00
