trial,q_minus,flip_probability,input_sign_bias,output_sign_bias,contraction_factor,l1_coherence,measurement_bias,aligned_reference_bias
103,0.4079201907026251,0.42561118906360434,0.18415961859474983,0.027398830099527156,0.1487776218727913,0.794336416791264,0.5439667968602386,0.794336416791264
104,0.06889043544121921,0.4991308848574082,0.8622191291175616,0.0014987354026967797,0.0017382302851836062,0.1667560711780709,0.02890325330758098,0.1667560711780709
105,0.3615551681853846,0.0776929698923231,0.27688966362923084,0.23386490302954824,0.8446140602153538,0.8890543415253522,0.45569881854618777,0.8890543415253522
106,0.2755649230357474,0.4231262861651438,0.44887015392850516,0.06901263152421551,0.1537474276697124,0.2951986089702695,0.22791738676882747,0.2951986089702695
107,0.1760110826826016,0.47218814508817597,0.6479778346347969,0.03604293104588175,0.05562370982364806,0.8677761634193101,0.5490821735082773,0.8677761634193101
108,0.0469762690910823,0.27903092688606185,0.9060474618178354,0.4004169356702467,0.4419381462278763,0.41877951765542143,0.34541923430260907,0.41877951765542143
109,0.02808002046575206,0.3505338417937023,0.9438399590684958,0.2821442652871147,0.29893231641259543,0.03767572355181592,0.016758648463571696,0.03767572355181592
110,0.07698288417355657,0.04117730155781385,0.8460342316528868,0.7763594182828784,0.9176453968843723,0.3863028899572085,0.3792448160065559,0.3863028899572085
111,0.35382331380394233,0.15014372026798556,0.29235337239211534,0.20456332646442738,0.6997125594640289,0.9838729571927669,0.9525874671144182,0.9838729571927669
112,0.1321008545415623,0.4806569657508096,0.7357982909168754,0.028465143083401805,0.038686068498380854,0.6596250806884406,0.0005306952375626617,0.6596250806884405
113,0.1820841481655275,0.0025838273945977264,0.6358317036689449,0.6325459449203578,0.9948323452108045,0.1747932786179247,0.17311064918129612,0.1747932786179247
114,0.31846726123766583,0.3378875929774597,0.36306547752466833,0.11771483693662399,0.32422481404508063,0.8083412888330923,0.7271903008178965,0.8083412888330923
115,0.16489352589333517,0.44343376672918694,0.6702129482133297,0.07582284393950912,0.11313246654162612,0.34946841888026,0.1955166738403227,0.34946841888026
116,0.10777821320460416,0.11954782106635875,0.7844435735907916,0.5968865336462177,0.7609043578672825,0.023492834095214965,0.021819096338887588,0.023492834095214965
117,0.14126667659196906,0.2000427579165418,0.7174666468160619,0.43041863333162494,0.5999144841669164,0.4465888564926541,0.42614089854707565,0.4465888564926542
118,0.078362983569392,0.3670343571611056,0.843274032861216,0.2242529477374771,0.2659312856777888,0.2718070750986721,0.23161542661677356,0.2718070750986721
119,0.05551478110368249,0.3615361337020697,0.8889704377926351,0.24618056768266394,0.27692773259586057,0.13282046505681366,0.050245500233269694,0.13282046505681366
120,0.06488513807520123,0.3970680655222757,0.8702297238495975,0.17914885783170978,0.20586386895544861,0.38387492336567797,0.21955601390481996,0.38387492336567797
121,0.45992941605621257,0.013062912719725872,0.08014116788757486,0.07804741372483029,0.9738741745605483,0.7578635745691015,0.714014051674327,0.7578635745691015
122,0.35265906474181885,0.0235954699427377,0.2946818705163623,0.2807755560794852,0.9528090601145246,0.8238485591539187,0.2355807561902225,0.8238485591539187
123,0.10699833576903627,0.2783799179336386,0.7860033284619274,0.34838824431633114,0.4432401641327228,0.9938653948169731,0.41122664824861616,0.9938653948169731
124,0.24653301635794964,0.2628800292408894,0.5069339672841007,0.24040833499841177,0.47423994151822124,0.6596257139048254,0.6098524351365111,0.6596257139048254
125,0.06859878645558953,0.23747678741659284,0.8628024270888209,0.4530113299682364,0.5250464251668143,0.7910328581478032,0.5545988411612184,0.7910328581478032
126,0.38695529984143173,0.3075695091708582,0.22608940031713654,0.08701298854858583,0.38486098165828364,0.7132459788521732,0.04848055828193876,0.7132459788521732
127,0.20887474217899954,0.08640546318603703,0.5822505156420009,0.4816312646532889,0.8271890736279259,0.19038604889805244,0.1237786466871032,0.1903860488980524
128,0.2642328368254606,0.2190696921965008,0.47153432634907877,0.2649365668823247,0.5618606156069984,0.4649588765962013,0.2877713484320691,0.46495887659620133
129,0.22510709143147717,0.2405105675329387,0.5497858171370457,0.28532721933466304,0.5189788649341226,0.2263959172497122,0.14458921024668014,0.2263959172497122
130,0.46269014349269116,0.35076547017943344,0.07461971301461767,0.02227167557416416,0.2984690596411331,0.8637120110732338,0.7557915814378656,0.8637120110732339
