replication,local_seed,ensemble,control_index,delay5_r2,nonlinear_prediction_r2,narma10_r2,parity3_accuracy
7,108125417,isospectral_orientation,4,0.2251099884375748,0.7116251175483319,0.5689649998295786,1.0
7,108125417,isospectral_orientation,5,0.20817217742680438,0.707754391642025,0.5469206406602483,0.9305084745762712
7,108125417,symmetric_radius_matched,6,0.446147457621365,0.976938018036435,0.5323584104325825,1.0
7,108125417,symmetric_radius_matched,7,0.36991807322751835,0.9632192881239976,0.5317897368843396,0.8838983050847458
7,108125417,symmetric_radius_matched,8,0.32531794352583954,0.954085839256601,0.5618006749891107,0.8559322033898306
7,108125417,symmetric_radius_matched,9,0.48545862174816956,0.955739651670114,0.5173575056747897,0.811864406779661
7,108125417,symmetric_radius_matched,10,0.3296959114921686,0.9530154676726907,0.5630980671680079,0.8398305084745763
7,108125417,symmetric_radius_matched,11,0.49565908669427683,0.956953068900118,0.43917290430432443,0.923728813559322
7,108125417,FIN,-1,0.21664816639618323,0.6930471596956216,0.5716071562940909,0.7516949152542373
8,3903967506,isospectral_orientation,0,0.2484806505514554,0.7001586446046308,0.6242057013424833,0.985593220338983
8,3903967506,isospectral_orientation,1,0.2530943595986084,0.6383278852180144,0.6188719507074807,0.976271186440678
8,3903967506,isospectral_orientation,2,0.2608494541097355,0.6973916319791026,0.6375699666531908,0.9822033898305085
8,3903967506,isospectral_orientation,3,0.2549605407422978,0.6528990000640871,0.6293850646052078,0.9211864406779661
8,3903967506,isospectral_orientation,4,0.24497606253869852,0.5595800513242694,0.6002589744671265,0.9559322033898305
8,3903967506,isospectral_orientation,5,0.24756483963173803,0.7413480111485456,0.5921339985078076,0.9906779661016949
8,3903967506,symmetric_radius_matched,6,0.4105635647160538,0.9703950260130173,0.6177270518982282,1.0
8,3903967506,symmetric_radius_matched,7,0.4565415743706165,0.9582010083340358,0.6236279015555695,0.8033898305084746
8,3903967506,symmetric_radius_matched,8,0.3948882850708276,0.9536759357064412,0.6217997763835461,0.9050847457627119
8,3903967506,symmetric_radius_matched,9,0.4135905801483162,0.9572998115419064,0.6104817129919031,0.9474576271186441
8,3903967506,symmetric_radius_matched,10,0.41359993241637616,0.9568086474262955,0.5733859695729899,0.9101694915254237
8,3903967506,symmetric_radius_matched,11,0.6239815975610883,0.9592769128598928,0.6146660098466622,0.9864406779661017
8,3903967506,FIN,-1,0.2663224313830942,0.7067231994856278,0.640553588476603,0.7627118644067796
9,2395206933,isospectral_orientation,0,0.2466191110129875,0.6780701657923188,0.6232178949594278,0.9838983050847457
9,2395206933,isospectral_orientation,1,0.2548829870263609,0.7146718232243314,0.6132507196270094,0.9940677966101695
9,2395206933,isospectral_orientation,2,0.25071630883522955,0.6788729186561653,0.6227689837260846,0.9440677966101695
9,2395206933,isospectral_orientation,3,0.251333624755151,0.6844638452475966,0.6264255734145858,0.9440677966101695
9,2395206933,isospectral_orientation,4,0.24764584366698938,0.6974861018206667,0.5984731602846713,0.9923728813559322
9,2395206933,isospectral_orientation,5,0.24843574476727348,0.6933827745258563,0.6052583832208402,0.9898305084745763
9,2395206933,symmetric_radius_matched,6,0.5195981423851554,0.9520991270757437,0.5875643837095904,0.9652542372881356
9,2395206933,symmetric_radius_matched,7,0.42683675190190284,0.9383376873496463,0.5987288125227754,0.9677966101694915
9,2395206933,symmetric_radius_matched,8,0.4085701750313727,0.9425563464201642,0.6183726655873254,0.8872881355932203
9,2395206933,symmetric_radius_matched,9,0.38410763551428007,0.9560843868821406,0.5878136656409321,0.95
9,2395206933,symmetric_radius_matched,10,0.5580094889024857,0.9516713265111522,0.5906606235115254,0.9720338983050848
9,2395206933,symmetric_radius_matched,11,0.6191954651993581,0.9584249022495104,0.6069850450488937,0.8991525423728813
9,2395206933,FIN,-1,0.25185105354005033,0.6985191024761894,0.6250259995606272,0.7677966101694915
10,2870025351,isospectral_orientation,0,0.24583393952575783,0.7075554701011894,0.6171276853134073,0.9915254237288136
10,2870025351,isospectral_orientation,1,0.23345398608518553,0.7058025243747763,0.6055524724179374,0.9144067796610169
10,2870025351,isospectral_orientation,2,0.2288783614846157,0.6701936975132681,0.5968107914189166,0.9330508474576271
10,2870025351,isospectral_orientation,3,0.23269039806038572,0.6612609798549232,0.606582083405792,0.9728813559322034
10,2870025351,isospectral_orientation,4,0.23365214240101673,0.6591565985450837,0.5955808607541669,0.9372881355932203
10,2870025351,isospectral_orientation,5,0.22967636451993734,0.6721378068707029,0.6071809046767223,0.9432203389830508
10,2870025351,symmetric_radius_matched,6,0.6149066629224261,0.9764449489777229,0.5468930231130947,0.9661016949152542
10,2870025351,symmetric_radius_matched,7,0.49402718572507454,0.9714800136725888,0.6022488445569159,0.6516949152542373
10,2870025351,symmetric_radius_matched,8,0.3552095080186001,0.9542409018890189,0.5655617555180525,0.8576271186440678
10,2870025351,symmetric_radius_matched,9,0.2737239869398328,0.9595685072640336,0.5873223276545282,0.9610169491525423
10,2870025351,symmetric_radius_matched,10,0.3880506140554314,0.9478629356699727,0.6041357487917847,0.9033898305084745
10,2870025351,symmetric_radius_matched,11,0.5426439472315647,0.9458462184692302,0.6109610756430104,0.9296610169491526
10,2870025351,FIN,-1,0.2358025372963668,0.701943678897363,0.6190926210234414,0.7567796610169492
11,3420466131,isospectral_orientation,0,0.1961859496610978,0.6852498723318553,0.5901617849212026,0.9830508474576272
11,3420466131,isospectral_orientation,1,0.20781260220928266,0.6966739893475384,0.6053585758943121,0.9567796610169491
