dynamics,nominal_time,preparation_vertex,robust_tv_5pct,median_tv,minimum_tv,maximum_tv,optimized_legacy_scale
wave,0.05470044002605323,2,0.0010377643228230346,0.001065856595289088,0.0010323629723278278,0.0011071443759805685,0.13044237640961015
wave,0.05470044002605323,3,0.0010389395105354373,0.0010621165017493449,0.0010331605951234841,0.001110200838332962,0.13044237640961015
wave,0.05470044002605323,4,0.0010300964827915557,0.0010646562181029881,0.0010187057277595394,0.00110071868738253,0.13044237640961015
wave,0.05470044002605323,5,0.0010378478433164936,0.0010645698765012171,0.0010319108416932902,0.0011113003095136952,0.13044237640961015
wave,0.05470044002605323,6,0.0010394844244676388,0.0010635990092566737,0.0010319589139255669,0.001127388980163882,0.13044237640961015
wave,0.05470044002605323,7,0.0010349874898187901,0.0010665136540239412,0.0010294568794451562,0.0011051467967742195,0.13044237640961015
wave,0.05470044002605323,8,0.0010340132627255092,0.00106481217599765,0.0010282694720745523,0.001115879957385463,0.13044237640961015
wave,0.05470044002605323,9,0.0010338589749335355,0.0010603351061480692,0.0010280914779065902,0.0011040261216409045,0.13044237640961015
wave,0.05470044002605323,10,0.001042962758251404,0.0010663687588031907,0.0010258485379100364,0.0011170074095901857,0.13044237640961015
wave,0.05470044002605323,11,0.001031140206840006,0.0010642946647783057,0.0010230625689287309,0.0011163769769832318,0.13044237640961015
wave,0.06682628855998672,0,0.0015442603977471221,0.0015873396972889264,0.001530746451701824,0.0016688314604348877,0.13044237640961015
wave,0.06682628855998672,1,0.00154078271278952,0.0015906125928948607,0.0015335416058757777,0.0016638897348516255,0.13044237640961015
wave,0.06682628855998672,2,0.0015480276285219899,0.0015899173518743159,0.0015399760531627916,0.0016514914858864142,0.13044237640961015
wave,0.06682628855998672,3,0.0015497893500850016,0.0015843390943772462,0.00154117879725475,0.001656064891963646,0.13044237640961015
wave,0.06682628855998672,4,0.001536600845215198,0.0015881431026745917,0.0015196208583872519,0.0016419216180207816,0.13044237640961015
wave,0.06682628855998672,5,0.0015481579689123792,0.0015880138402276636,0.0015392941677379501,0.0016576980688033736,0.13044237640961015
wave,0.06682628855998672,6,0.0015505882183990197,0.001586565418919081,0.0015393689269880566,0.0016816887599803735,0.13044237640961015
wave,0.06682628855998672,7,0.0015438926376484705,0.001590911366613596,0.001535644481641493,0.001648511051011113,0.13044237640961015
wave,0.06682628855998672,8,0.0015424546905377895,0.0015883895357066745,0.0015338699947825192,0.001664540308009623,0.13044237640961015
wave,0.06682628855998672,9,0.0015422108913056398,0.0015816983364463535,0.001533597399944263,0.0016468467857068743,0.13044237640961015
wave,0.06682628855998672,10,0.0015557987756572233,0.0015906927796471074,0.0015302630511543455,0.00166620454877643,0.13044237640961015
wave,0.06682628855998672,11,0.0015381684519173038,0.0015876033824139646,0.001526116234786085,0.0016652646545997271,0.13044237640961015
wave,0.0816401630512592,0,0.0023029789981071414,0.0023671885569834655,0.0022828308056481333,0.0024886921095458705,0.13044237640961015
wave,0.0816401630512592,1,0.0022977889066779214,0.0023720838264277193,0.0022870089814498967,0.002481343439180994,0.13044237640961015
wave,0.0816401630512592,2,0.0023085744148141213,0.002371010361877106,0.0022965795409051653,0.0024628033216664916,0.13044237640961015
wave,0.0816401630512592,3,0.002311221035208709,0.0023626933285598468,0.0022984019836371342,0.0024696550190567356,0.13044237640961015
wave,0.0816401630512592,4,0.00229155878852643,0.002368400810189328,0.002266262213466868,0.002448565820696885,0.13044237640961015
wave,0.0816401630512592,5,0.0023087815948880765,0.002368206997924379,0.002295546084847889,0.0024720752267936392,0.13044237640961015
wave,0.0816401630512592,6,0.0023123812785163724,0.0023660465562831707,0.0022956643499090676,0.002507833201071589,0.13044237640961015
wave,0.0816401630512592,7,0.0023024239179334897,0.002372523635222617,0.0022901275022807555,0.0024583571359307805,0.13044237640961015
wave,0.0816401630512592,8,0.002300313567579465,0.0023687990084817626,0.0022874740049945133,0.0024823030976771714,0.13044237640961015
wave,0.0816401630512592,9,0.0022999196092448274,0.002358791988681711,0.002287051721197555,0.0024558917722439693,0.13044237640961015
wave,0.0816401630512592,10,0.002320200630673365,0.0023721922073437944,0.002282104658494419,0.0024847458747565476,0.13044237640961015
wave,0.0816401630512592,11,0.0022939203506805355,0.002367595048044735,0.0022759405364952716,0.0024833453557063494,0.13044237640961015
wave,0.09973793796812819,0,0.003433129369773222,0.003528770314067847,0.003403105690689986,0.00370984114955198,0.13044237640961015
wave,0.09973793796812819,1,0.0034253839319838123,0.003536099767448917,0.0034093558659088327,0.0036989329311863817,0.13044237640961015
wave,0.09973793796812819,2,0.003441420110596331,0.0035344179971301152,0.003423566894609744,0.003671182372273542,0.13044237640961015
wave,0.09973793796812819,3,0.0034454085414500984,0.0035220237500081498,0.003426347690021403,0.0036814660782580858,0.13044237640961015
wave,0.09973793796812819,4,0.003416110661001902,0.0035306088706060328,0.003378457887644969,0.0036500341004173983,0.13044237640961015
wave,0.09973793796812819,5,0.0034417574355093856,0.0035303176202326494,0.0034219894974165024,0.0036850397762989177,0.13044237640961015
wave,0.09973793796812819,6,0.003447068915284572,0.0035270961065244034,0.0034221808325764235,0.003738301550124099,0.13044237640961015
wave,0.09973793796812819,7,0.003432287124802402,0.0035367425879716603,0.0034139657424725072,0.0036645511346041428,0.13044237640961015
wave,0.09973793796812819,8,0.003429216986359249,0.0035311925196872688,0.0034099941191372057,0.003700340040789799,0.13044237640961015
wave,0.09973793796812819,9,0.003428562111205685,0.0035162899315142456,0.003409329543311188,0.003660912810387516,0.13044237640961015
wave,0.09973793796812819,10,0.0034588339987566634,0.0035362363962054763,0.0034020115473524567,0.003703894542095453,0.13044237640961015
wave,0.09973793796812819,11,0.003419683993829616,0.0035294057525283,0.0033928671664477787,0.0037018092894919746,0.13044237640961015
wave,0.12184757965130938,0,0.005114906705891371,0.005257224608912146,0.005070201888531649,0.005526865589869573,0.13044237640961015
wave,0.12184757965130938,1,0.0051033483394554765,0.005268215404670488,0.005079561907428459,0.005510717532702071,0.13044237640961015
wave,0.12184757965130938,2,0.005127146411748331,0.00526552853096407,0.005100609648064515,0.005469123482369947,0.13044237640961015
