relative_noise,repetition,maximum_relative_pole_error,maximum_relative_weight_error,relative_curve_rmse,minimum_fitted_pole_separation
0.001,16,0.35041444055388576,0.8419078527562244,0.0008856515699462224,9.130473098251102e-06
0.001,17,0.5303524744551266,1.1191309537317002,0.0010418758424924832,0.7484820789458031
0.001,18,0.3504144119985788,1.114582663110258,0.0009005911225821932,0.49948347105439883
0.001,19,0.35041444487722595,0.995710713730131,0.0008381377284947403,1.5760394345143425e-06
0.001,20,0.18262549641830203,1.972939382634607,0.0010155873442376957,4.03399668116311e-05
0.001,21,0.5303524744551268,1.1260820446344757,0.0010788876185971101,0.7452071802178292
0.001,22,0.16675187776354325,0.9999999483724149,0.0008232945620832388,0.40434580745214177
0.001,23,0.5303524744544676,1.1912745323017262,0.0009983209064110174,0.7784731486761471
0.001,24,0.45987524611782654,1.2432723064253708,0.0007806487918458654,0.7381984773086555
0.001,25,0.35041444411306016,0.6309411832676712,0.0008346970756219506,4.254386421598255e-06
0.001,26,0.530352474455126,1.161673490960046,0.0010902409214511226,0.7551093564592753
0.001,27,0.18592321644259388,2.1263144810636083,0.0009394875171184384,1.8384211880828616e-05
0.001,28,0.639666278405772,12.992234060688855,0.0008400612428341163,3.172614634339155e-07
0.001,29,0.17531999971538523,1.346175974304173,0.0009895383105867218,4.9962871015329924e-05
0.001,30,0.35041371081918365,0.5758566535497914,0.0009753698072304115,1.5698298890809426e-05
0.001,31,0.18126837301849316,1.9474323204828397,0.0010598396863136998,3.5832594531548523e-06
0.001,32,0.18717471137189057,0.9999999408210027,0.0009009145719575571,0.017295478583791324
0.001,33,0.4576866610544062,1.1616403123642987,0.0007769623364425509,0.6802502932271178
0.001,34,0.5303524744551268,1.1427273370691726,0.0011491679902274822,0.7596190090255052
0.001,35,0.35041391204467914,0.5825073921780295,0.00105719696477309,9.87553087417048e-06
0.001,36,0.1643214613381477,0.8749730258513226,0.0009107137587037394,4.222103005457889e-05
0.001,37,0.19722876063643624,0.9912214547267796,0.00106556701968421,0.36306769580537057
0.001,38,0.447745831941216,1.1342438689633079,0.0008778894821512622,0.6590400164410053
0.001,39,0.5303524744551267,1.1585446704384976,0.0009161697470638492,0.7683328449313925
0.001,40,0.5303524744526028,1.1395258765861207,0.0009078355665717428,0.7488156594251453
0.001,41,0.16872858598075346,0.9071195077457089,0.0008155754449794757,1.9059130561327464e-05
0.001,42,0.35041444550010115,0.7228339818794997,0.0011896669385152976,3.3580273679501005e-06
0.001,43,0.3091635091311157,1.1601053652761468,0.0009096168721605662,0.5944572241631544
0.001,44,0.5303524744551268,1.1966135429575222,0.0010783429912150234,0.7949955231763409
0.001,45,0.2212320128738496,4.464473435647135,0.0008192740540233296,2.5662740292808905e-06
0.001,46,0.3504144357921414,0.7706920269383323,0.0010709715098163155,1.3546473326631059e-05
0.001,47,0.5303524744549178,1.1753383333639373,0.001043559548262582,0.7690474786739806
0.001,48,0.18298557454374634,2.183821831652405,0.0010678862790931781,0.0003036849383597495
0.001,49,0.07289582938430858,0.9999998575246702,0.0011127788444437034,0.17354799073673854
0.001,50,0.373144524913971,10.39721342682489,0.0009999385366355445,9.532720568250497e-06
