uses,survival,coherence,fraction_of_ideal_threshold,time,product_lower,GHZ_lower,winner,advantage
3,0.5,0.9,0.25,0.059969751167115774,0.1273789498838131,0.03487202777426881,product,0.09250692210954428
3,0.5,0.9,0.5,0.11993950233423155,0.2502776550148611,0.06443510543562414,product,0.18584254957923696
3,0.5,0.9,0.75,0.17990925350134732,0.3646267533202862,0.08418852240009102,product,0.2804382309201952
3,0.5,0.9,1.0,0.2398790046684631,0.46712909317832774,0.09112500000000001,product,0.3760040931783277
3,0.5,1.0,0.25,0.059969751167115774,0.14589318545999164,0.04783542904563622,product,0.09805775641435541
3,0.5,1.0,0.5,0.11993950233423155,0.2861683873204509,0.08838834764831843,product,0.19778003967213248
3,0.5,1.0,0.75,0.17990925350134732,0.41574974677568133,0.11548494156391084,product,0.30026480521177046
3,0.5,1.0,1.0,0.2398790046684631,0.5305823499482151,0.125,product,0.40558234994821507
3,0.7,0.5,0.25,0.059969751167115774,0.07843568663682267,0.01640755216265322,product,0.06202813447416945
3,0.7,0.5,0.5,0.11993950233423155,0.15484932203739968,0.030317203243373215,product,0.12453211879402647
3,0.7,0.5,0.75,0.17990925350134732,0.22736288223019202,0.03961133495642141,product,0.1877515472737706
3,0.7,0.5,1.0,0.2398790046684631,0.2943654249820158,0.04287499999999999,product,0.2514904249820158
3,0.7,0.7,0.25,0.059969751167115774,0.11533167549513773,0.045022323134320426,product,0.07030935236081731
3,0.7,0.7,0.5,0.11993950233423155,0.22674912388583202,0.08319040569981609,product,0.14355871818601593
3,0.7,0.7,0.75,0.17990925350134732,0.3307196326006068,0.10869350312042032,product,0.22202612948018652
3,0.7,0.7,1.0,0.2398790046684631,0.42441573104586017,0.11764899999999995,product,0.3067667310458602
3,0.7,0.9,0.25,0.059969751167115774,0.15827479742618297,0.09568884421259359,product,0.06258595321358938
3,0.7,0.9,0.5,0.11993950233423155,0.3096074023600299,0.1768099293153526,product,0.13279747304467732
3,0.7,0.9,0.75,0.17990925350134732,0.4478489112822458,0.2310133054658497,product,0.2168356058163961
3,0.7,0.9,1.0,0.2398790046684631,0.5683232387473475,0.25004699999999996,product,0.3182762387473475
3,0.7,1.0,0.25,0.059969751167115774,0.18261214589157038,0.13126041730122576,product,0.05135172859034462
3,0.7,1.0,0.5,0.11993950233423155,0.35625011681832786,0.24253762594698572,product,0.11371249087134214
3,0.7,1.0,0.75,0.17990925350134732,0.5130120565971616,0.3168906796513713,product,0.19612137694579035
3,0.7,1.0,1.0,0.2398790046684631,0.6469925255314073,0.3429999999999999,product,0.3039925255314074
3,0.9,0.5,0.25,0.059969751167115774,0.09167761753824642,0.03487202777426881,product,0.056805589763977614
3,0.9,0.5,0.5,0.11993950233423155,0.18084525253240064,0.06443510543562414,product,0.1164101470967765
3,0.9,0.5,0.75,0.17990925350134732,0.2651995507384714,0.08418852240009102,product,0.1810110283383804
3,0.9,0.5,1.0,0.2398790046684631,0.34281525557132964,0.09112500000000001,product,0.2516902555713296
3,0.9,0.7,0.25,0.059969751167115774,0.13367073545344793,0.09568884421259359,product,0.03798189124085434
3,0.9,0.7,0.5,0.11993950233423155,0.26219916550004096,0.1768099293153526,product,0.08538923618468836
3,0.9,0.7,0.75,0.17990925350134732,0.38103895324580067,0.2310133054658497,product,0.15002564777995098
3,0.9,0.7,1.0,0.2398790046684631,0.4867306635918225,0.25004699999999996,product,0.23668366359182252
3,0.9,0.9,0.25,0.059969751167115774,0.18306603973364083,0.20337366597953574,GHZ,0.02030762624589491
3,0.9,0.9,0.5,0.11993950233423155,0.3564558735444022,0.3757855349005601,GHZ,0.01932966135615788
3,0.9,0.9,0.75,0.17990925350134732,0.5118059707314995,0.4909874626373309,product,0.020818508094168575
3,0.9,0.9,1.0,0.2398790046684631,0.6431622417158974,0.5314410000000002,product,0.11172124171589726
3,0.9,1.0,0.25,0.059969751167115774,0.21159750129674476,0.27897622219415047,GHZ,0.06737872089740571
3,0.9,1.0,0.5,0.11993950233423155,0.41034925872397077,0.5154808434849931,GHZ,0.10513158476102236
3,0.9,1.0,0.75,0.17990925350134732,0.5852218441908847,0.6735081792007281,GHZ,0.0882863350098434
3,0.9,1.0,1.0,0.2398790046684631,0.7285211277205992,0.7290000000000001,GHZ,0.00047887227940091037
3,1.0,0.5,0.25,0.059969751167115774,0.09906025032032349,0.04783542904563622,product,0.05122482127468727
3,1.0,0.5,0.5,0.11993950233423155,0.19537617816786101,0.08838834764831843,product,0.10698783051954258
3,1.0,0.5,0.75,0.17990925350134732,0.2864418689773217,0.11548494156391084,product,0.17095692741341087
3,1.0,0.5,1.0,0.2398790046684631,0.3701844689524083,0.125,product,0.2451844689524083
3,1.0,0.7,0.25,0.059969751167115774,0.14290563505156784,0.13126041730122576,product,0.01164521775034208
3,1.0,0.7,0.5,0.11993950233423155,0.2800592576691539,0.24253762594698572,product,0.037521631722168186
3,1.0,0.7,0.75,0.17990925350134732,0.4064270215746739,0.3168906796513713,product,0.08953634192330262
3,1.0,0.7,1.0,0.2398790046684631,0.5182758041481887,0.3429999999999999,product,0.17527580414818883
3,1.0,0.9,0.25,0.059969751167115774,0.19428822835880857,0.27897622219415047,GHZ,0.0846879938353419
3,1.0,0.9,0.5,0.11993950233423155,0.3774542831214541,0.5154808434849931,GHZ,0.138026560363539
3,1.0,0.9,0.75,0.17990925350134732,0.5400023052958757,0.6735081792007281,GHZ,0.13350587390485247
3,1.0,0.9,1.0,0.2398790046684631,0.6754052304573164,0.7290000000000001,GHZ,0.05359476954268372
3,1.0,1.0,0.25,0.059969751167115774,0.2241548991330267,0.3826834323650898,GHZ,0.1585285332320631
3,1.0,1.0,0.5,0.11993950233423155,0.4333596566087392,0.7071067811865475,GHZ,0.27374712457780825
3,1.0,1.0,0.75,0.17990925350134732,0.6149315272702202,0.9238795325112867,GHZ,0.3089480052410666
3,1.0,1.0,1.0,0.2398790046684631,0.7603453162872774,1.0,GHZ,0.23965468371272258
4,0.5,0.5,0.25,0.04497731337533683,0.0564430544249739,0.001494857157676132,product,0.05494819726729777
