times,minimum_fisher_eigenvalue,condition_number,cramer_rao_sd_log_scale,cramer_rao_sd_quadratic_clock,cramer_rao_sd_cubic_clock
"[0.05, 0.6772727272727272, 0.8863636363636364, 1.0954545454545455]",27.47359765341531,694.65524020876,0.05207723184496754,0.15206121126280478,0.11038715712188024
"[0.05, 0.6772727272727272, 0.8863636363636364, 1.2]",35.88268292230526,564.5926093124591,0.051421397923375585,0.1362708260575563,0.0884768206584519
"[0.05, 0.6772727272727272, 0.9909090909090909, 1.0954545454545455]",25.284199879628552,796.8288409183293,0.05244307178204808,0.1587214077063667,0.11483641753374912
"[0.05, 0.6772727272727272, 0.9909090909090909, 1.2]",33.091073496008896,645.9096266162459,0.05153451772757302,0.14168829370953376,0.09330481722310172
"[0.05, 0.6772727272727272, 1.0954545454545455, 1.2]",30.762940707612703,734.4574626132049,0.052112296182112265,0.14736108911515958,0.0961732029068872
"[0.05, 0.7818181818181819, 0.8863636363636364, 0.9909090909090909]",13.982727144717861,1354.3062673662298,0.052665000158444754,0.199836969854742,0.17835362854197834
"[0.05, 0.7818181818181819, 0.8863636363636364, 1.0954545454545455]",26.13950042743028,765.9797711830581,0.05198149843308469,0.1543543579429947,0.11754424680166763
"[0.05, 0.7818181818181819, 0.8863636363636364, 1.2]",36.94221192734336,574.5187737583879,0.051580185862811344,0.13389870216955005,0.08904425860514449
"[0.05, 0.7818181818181819, 0.9909090909090909, 1.0954545454545455]",23.55438160253025,896.0029636043985,0.05212326455450061,0.1625619771052014,0.1241411469041204
"[0.05, 0.7818181818181819, 0.9909090909090909, 1.2]",33.97663625861691,657.9126113438198,0.05153038863763246,0.13927670283851992,0.09450555891070099
"[0.05, 0.7818181818181819, 1.0954545454545455, 1.2]",31.91776220060609,739.0325808611249,0.05177358123497985,0.14408913941115611,0.09696258047007365
"[0.05, 0.8863636363636364, 0.9909090909090909, 1.0954545454545455]",16.208823281581687,1366.429110707736,0.052021482896375544,0.191413227199779,0.15835770388102685
"[0.05, 0.8863636363636364, 0.9909090909090909, 1.2]",30.67400838028073,763.7529980962819,0.05141618240080975,0.1452882372086465,0.104095383049239
"[0.05, 0.8863636363636364, 1.0954545454545455, 1.2]",27.920349101126504,884.0347506971988,0.05153352238340473,0.15252076943244344,0.10906547296033275
"[0.05, 0.9909090909090909, 1.0954545454545455, 1.2]",17.99768319687051,1437.996204952106,0.05151959585459798,0.18648772872078742,0.1437817402889756
"[0.15454545454545454, 0.2590909090909091, 0.3636363636363636, 0.46818181818181814]",0.6055128515310424,14842.518635913511,0.10350921146913773,0.7039540841452873,1.0742218107910884
"[0.15454545454545454, 0.2590909090909091, 0.3636363636363636, 0.5727272727272728]",1.6457161850151998,5758.400272068505,0.08137657269928966,0.4809749530941533,0.6114342837201239
"[0.15454545454545454, 0.2590909090909091, 0.3636363636363636, 0.6772727272727272]",2.905660924396896,3426.681942367244,0.07247346324256645,0.39308613374203905,0.43208915941578696
"[0.15454545454545454, 0.2590909090909091, 0.3636363636363636, 0.7818181818181819]",4.241564118997955,2466.4323601113597,0.06754316282294955,0.3454674805952843,0.33661227358291124
"[0.15454545454545454, 0.2590909090909091, 0.3636363636363636, 0.8863636363636364]",5.583726040361942,1974.787032385833,0.06436009953850705,0.31521313483934355,0.2767637818027483
"[0.15454545454545454, 0.2590909090909091, 0.3636363636363636, 0.9909090909090909]",6.89286689280096,1695.9491112850299,0.062117500927700756,0.29413961770216523,0.23548256743152998
"[0.15454545454545454, 0.2590909090909091, 0.3636363636363636, 1.0954545454545455]",8.146484151975281,1533.240481968703,0.060445429543829615,0.278557715858905,0.20517620397943948
