experiment,time,control,completion_coordinate,estimated_derivative
binary,0.68,0.56,0.31439582303828395,0.19507231261471913
binary,0.72,0.56,0.3221987155428727,0.1890560713148734
binary,0.76,0.56,0.32976095839546765,0.1778430182554927
binary,0.8,0.56,0.33687467912568736,0.18169405839116304
binary,0.84,0.56,0.3441424414613339,0.17256762121917735
binary,0.88,0.56,0.351045146310101,0.17181558216344262
binary,0.92,0.56,0.3579177695966387,0.1688374559729644
binary,0.96,0.56,0.36467126783555726,0.17192790567154836
binary,1.0,0.56,0.3715483840624192,0.1610913318590798
binary,1.04,0.56,0.3779920373367824,0.1688022227826838
binary,1.08,0.56,0.38474412624808974,0.14414536774784853
binary,1.12,0.56,0.3905099409580037,0.1640092880956956
binary,1.16,0.56,0.3970703124818315,0.14787333025175903
binary,1.2,0.56,0.40298524569190186,0.15596943241436706
binary,1.24,0.56,0.40922402298847654,0.14285025959074188
binary,1.28,0.56,0.4149380333721062,0.14634466263182544
binary,1.32,0.56,0.42079181987737924,0.13915844025279706
binary,1.36,0.18,0.4263581574874911,-0.0690851476189247
binary,1.4000000000000001,0.18,0.42359475158273413,-0.057715023493877526
binary,1.44,0.18,0.42128615064297903,-0.08262736214735417
binary,1.48,0.18,0.41798105615708486,-0.06210834873608684
binary,1.52,0.18,0.4154967222076414,-0.059131703824906456
binary,1.56,0.18,0.41313145405464513,-0.06750119967298962
binary,1.6,0.18,0.41043140606772555,-0.05532003114209899
binary,1.6400000000000001,0.18,0.4082186048220416,-0.07093871207096009
binary,1.68,0.18,0.4053810563392032,-0.055253226890038254
binary,1.72,0.18,0.40317092726360165,-0.0690987646307567
binary,1.76,0.18,0.4004069766783714,-0.04891503303752626
binary,1.8,0.18,0.39845037535687033,-0.05610662276984285
binary,1.84,0.18,0.3962061104460766,-0.05970933751477531
binary,1.8800000000000001,0.18,0.3938177369454856,-0.05532307583674401
binary,1.92,0.18,0.39160481391201585,-0.058431023750180056
binary,1.96,0.18,0.38926757296200865,-0.04672523737768719
binary,2.0,0.18,0.38739856346690116,-0.050185682693169864
binary,2.04,0.56,0.38539113615917436,0.15146419586195975
binary,2.08,0.56,0.39144970399365275,0.15848859830086687
binary,2.12,0.56,0.39778924792568743,0.14511684140478542
binary,2.16,0.56,0.40359392158187885,0.155329892211227
binary,2.2,0.56,0.4098071172703279,0.1466044508976902
binary,2.24,0.56,0.41567129530623553,0.14733651370873457
binary,2.2800000000000002,0.56,0.4215647558545849,0.14255164221011474
binary,2.32,0.56,0.4272668215429895,0.13688134108171268
binary,2.36,0.56,0.432742075186258,0.13516317030910913
binary,2.4,0.56,0.4381486019986224,0.13647020070347293
binary,2.44,0.56,0.4436074100267613,0.1284275557002862
binary,2.48,0.56,0.44874451225477274,0.1184703567120679
binary,2.52,0.56,0.45348332652325546,0.1311462423485052
binary,2.56,0.56,0.45872917621719567,0.12816814743391164
binary,2.6,0.56,0.46385590211455213,0.11771172719402812
binary,2.64,0.56,0.46856437120231326,0.12070939137844156
binary,2.68,0.56,0.4733927468574509,0.12253951393086798
binary,2.72,0.18,0.47829432741468564,-0.10279809381098792
binary,2.7600000000000002,0.18,0.4741824036622461,-0.090339172270687
binary,2.8000000000000003,0.18,0.47056883677141864,-0.0988727539592657
binary,2.84,0.18,0.466613926613048,-0.09045975400992917
binary,2.88,0.18,0.46299553645265085,-0.08189768082142584
binary,2.92,0.18,0.4597196292197938,-0.09030895584508924
binary,2.96,0.18,0.45610727098599024,-0.08421679883718475
binary,3.0,0.18,0.45273859903250285,-0.08476198601802126
binary,3.04,0.18,0.449348119591782,-0.07579635305963173
binary,3.08,0.18,0.44631626546939673,-0.08016054266324901
binary,3.12,0.18,0.4431098437628668,-0.07804887058138477
binary,3.16,0.18,0.4399878889396114,-0.0682405606078823
binary,3.2,0.18,0.4372582665152961,-0.08456860093733615
binary,3.24,0.18,0.43387552247780264,-0.07640348591408247
binary,3.2800000000000002,0.18,0.43081938304123935,-0.07173986140193989
binary,3.3200000000000003,0.18,0.42794978858516175,-0.06694606014505666
binary,3.36,0.18,0.4252719461793595,-0.07621564114575208
binary,3.4,0.56,0.4222233205335294,0.14616595173879143
binary,3.44,0.56,0.42806995860308106,0.14175706270877497
binary,3.48,0.56,0.43374024111143206,0.13801973020862307
binary,3.52,0.56,0.439261030319777,0.12640604729698135
binary,3.56,0.56,0.44431727221165623,0.12846978203038123
binary,3.6,0.56,0.4494560634928715,0.12774509834133085
binary,3.64,0.56,0.4545658674265247,0.12995476597143785
binary,3.68,0.56,0.45976405806538223,0.1203848572529212
binary,3.72,0.56,0.4645794523554991,0.12951928965625192
binary,3.7600000000000002,0.56,0.46976022394174916,0.10293418458201115
binary,3.8000000000000003,0.56,0.4738775913250296,0.11567414217852623
binary,3.84,0.56,0.47850455701217065,0.1198920402105591
binary,3.88,0.56,0.483300238620593,0.11192547899929461
binary,3.92,0.56,0.4877772577805648,0.1022738017689151
binary,3.96,0.56,0.4918682098513214,0.10962696574086106
binary,4.0,0.56,0.49625328848095585,0.11201800634400849
binary,4.04,0.56,0.5007340087347162,0.09222800353037852
binary,4.08,0.18,0.5044231288759313,-0.09944464638788342
binary,4.12,0.18,0.500445343020416,-0.10774833398348171
binary,4.16,0.18,0.4961354096610767,-0.10772502475289436
binary,4.2,0.18,0.49182640867096095,-0.09833329563292692
binary,4.24,0.18,0.48789307684564387,-0.10437247596707111
binary,4.28,0.18,0.483718177806961,-0.0983655162468483
binary,4.32,0.18,0.4797835571570871,-0.08933894050961178
binary,4.36,0.18,0.4762099995367026,-0.09243907204841278
binary,4.4,0.18,0.4725124366547661,-0.10064830222793753
binary,4.44,0.18,0.4684865045656486,-0.08102106750004501
binary,4.48,0.18,0.4652456618656468,-0.09456004886520958
binary,4.5200000000000005,0.18,0.4614632599110384,-0.08444223581526161
binary,4.5600000000000005,0.18,0.45808557047842796,-0.09209556453857876
binary,4.6000000000000005,0.18,0.4544017478968848,-0.07764257924502554
binary,4.64,0.18,0.4512960447270838,-0.08326649785504459
binary,4.68,0.18,0.447965384812882,-0.08029638492633856
binary,4.72,0.18,0.44475352941582846,-0.07644689367544838
binary,4.76,0.56,0.44169565366881053,0.13574271574137153
binary,4.8,0.56,0.4471253622984654,0.11651568561924647
binary,4.84,0.56,0.45178598972323525,0.13584523334943116
binary,4.88,0.56,0.4572197990572125,0.11825791071678471
binary,4.92,0.56,0.4619501154858839,0.12586104828820888
binary,4.96,0.56,0.46698455741741224,0.11465064111748913
binary,5.0,0.56,0.4715705830621118,0.1180395224894007
binary,5.04,0.56,0.47629216396168783,0.11766163464753121
binary,5.08,0.56,0.4809986293475891,0.11249652957569523
binary,5.12,0.56,0.4854984905306169,0.10660527190869407
binary,5.16,0.56,0.48976270140696465,0.11447290292126017
binary,5.2,0.56,0.49434161752381506,0.10089840500498437
binary,5.24,0.56,0.49837755372401443,0.10307809159038478
binary,5.28,0.56,0.5025006773876298,0.1021897506304631
binary,5.32,0.56,0.5065882674128483,0.09714451864819007
binary,5.36,0.56,0.510474048158776,0.10311467953932618
binary,5.4,0.56,0.514598635340349,0.09266015405222372
binary,5.44,0.18,0.518305041502438,-0.11381372636339593
binary,5.48,0.18,0.5137524924479021,-0.11131543316245107
binary,5.5200000000000005,0.18,0.5092998751214041,-0.11243258786590715
binary,5.5600000000000005,0.18,0.5048025716067678,-0.10917898577459395
binary,5.6000000000000005,0.18,0.500435412175784,-0.10431294432776683
binary,5.64,0.18,0.49626289440267335,-0.10494021226652162
binary,5.68,0.18,0.4920652859120125,-0.10268813730246185
binary,5.72,0.18,0.487957760419914,-0.10002520273489773
binary,5.76,0.18,0.4839567523105181,-0.09410288631645919
binary,5.8,0.18,0.48019263685785973,-0.09691842195835437
binary,5.84,0.18,0.47631589997952556,-0.09188943341895406
binary,5.88,0.18,0.4726403226427674,-0.09798766817864513
binary,5.92,0.18,0.4687208159156216,-0.08684059811062406
binary,5.96,0.18,0.46524719199119663,-0.08562335455002679
binary,6.0,0.18,0.46182225780919556,-0.09587814595851951
