times,worst_case_minimum_information_eigenvalue,median_minimum_information_eigenvalue,all_sampled_clocks_monotone
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.3201135363491284, 0.6694467498530259]",8.020204253408196e-08,8.031369155008618e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.3201135363491284, 0.8560912078750774]",1.1135713615992743e-07,1.115310990144336e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.3201135363491284, 1.0947728947252522]",1.4679041703387445e-07,1.4704530344279327e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.3201135363491284, 1.4]",1.8395760751680875e-07,1.843072638448162e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.4093624833498013, 0.5234943972864351]",8.73417639030834e-08,8.746800568672748e-08,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.4093624833498013, 0.6694467498530259]",1.2722529783736435e-07,1.2743077269065785e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.4093624833498013, 0.8560912078750774]",1.7628078560064337e-07,1.76603089919903e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.4093624833498013, 1.0947728947252522]",2.3229330418494916e-07,2.3276950592571113e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.4093624833498013, 1.4]",2.9153753031492125e-07,2.921970121807735e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.5234943972864351, 0.6694467498530259]",1.9275242773574382e-07,1.9311831793205997e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.5234943972864351, 0.8560912078750774]",2.666221486269876e-07,2.671953664088791e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.5234943972864351, 1.0947728947252522]",3.5123619884283086e-07,3.5208860978068444e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.5234943972864351, 1.4]",4.414060735283904e-07,4.425961852810134e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.6694467498530259, 0.8560912078750774]",3.8520027063151474e-07,3.8617530085390146e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.6694467498530259, 1.0947728947252522]",5.073705877245299e-07,5.088227296069343e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.6694467498530259, 1.4]",6.38288140048563e-07,6.403282124441902e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.8560912078750774, 1.0947728947252522]",6.996579592697676e-07,7.020000253044618e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 0.8560912078750774, 1.4]",8.807453652970744e-07,8.840430534202154e-07,True
"[0.035, 0.04475814137899094, 0.05723689199147829, 1.0947728947252522, 1.4]",1.1594929155917236e-06,1.1644992126370197e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.11969831626736879]",3.903456249976257e-11,3.9098286243263225e-11,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.15307069035205895]",1.2500125235488114e-10,1.251914205588101e-10,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.1957474171359199]",2.875340134025374e-10,2.8795952334857166e-10,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.25032258773548044]",5.745058960129806e-10,5.7534275200169e-10,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.3201135363491284]",1.0512821322226526e-09,1.0527956296380947e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.4093624833498013]",1.7981096402314929e-09,1.8006762726070363e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.5234943972864351]",2.8945818437718485e-09,2.8987956443415823e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.6694467498530259]",4.387220125689314e-09,4.393766015017373e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 0.8560912078750774]",6.247548843924164e-09,6.257128036093738e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 1.0947728947252522]",8.349332397341176e-09,8.362483691463846e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.09360176585269005, 1.4]",1.0495430237418134e-08,1.0512360770307875e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 0.15307069035205895]",5.056341970753465e-10,5.066740205206591e-10,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 0.1957474171359199]",1.2965867249751852e-09,1.2986141646164485e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 0.25032258773548044]",2.5976739797895397e-09,2.601369123291154e-09,True
