candidate_id,ensemble,strict_fingerprint,stieltjes_memory,context_composition,chiral_covariance_scaffold,information_contraction_channel,all_five
201,random_positive_dense,0,1,1,0,1,0
202,random_positive_circulant,0,1,1,1,1,0
203,random_signed_circulant,0,0,1,1,0,0
204,strict_five_percent_circulant,0,1,1,1,1,0
205,random_positive_dense,0,1,1,0,1,0
206,random_positive_circulant,0,1,1,1,1,0
207,random_signed_circulant,0,0,1,1,0,0
208,strict_five_percent_circulant,1,1,1,1,1,1
209,random_positive_dense,0,1,1,0,1,0
210,random_positive_circulant,0,1,1,1,1,0
211,random_signed_circulant,0,1,1,1,0,0
212,strict_five_percent_circulant,1,1,1,1,1,1
213,random_positive_dense,0,1,1,0,1,0
214,random_positive_circulant,0,1,1,1,1,0
215,random_signed_circulant,0,0,1,1,0,0
216,strict_five_percent_circulant,0,1,1,1,1,0
217,random_positive_dense,0,1,1,0,1,0
218,random_positive_circulant,0,1,1,1,1,0
219,random_signed_circulant,0,1,1,1,0,0
220,strict_five_percent_circulant,1,1,1,1,1,1
221,random_positive_dense,0,1,1,0,1,0
222,random_positive_circulant,0,1,1,1,1,0
223,random_signed_circulant,0,0,1,1,0,0
224,strict_five_percent_circulant,0,1,1,1,1,0
225,random_positive_dense,0,1,1,0,1,0
226,random_positive_circulant,0,1,1,1,1,0
227,random_signed_circulant,0,0,1,1,0,0
