uses,survival_probability,coherence_factor,fraction_of_ideal_threshold,time_per_use,product_erasure_lower,ghz_lower,best_feasible_lower,adaptive_hybrid_upper,certificate_gap
4,0.95,0.9,0.25,0.04497731337533683,0.1636042086438398,0.20450508892067182,0.20450508892067182,0.3352186199270973,0.13071353100642547
4,0.95,0.9,0.5,0.08995462675067366,0.32042056495023735,0.3778761318964188,0.3778761318964188,0.6672089012951586,0.28933276939873986
4,0.95,0.9,0.75,0.13493194012601048,0.46441410589372745,0.49371895924660164,0.49371895924660164,0.9927735962102612,0.49905463696365954
4,0.95,0.9,1.0,0.17990925350134732,0.5909450709678848,0.5343975506249999,0.5909450709678848,1.0,0.40905492903211516
4,0.95,1.0,0.25,0.04497731337533683,0.1894141338253793,0.31169804743281787,0.31169804743281787,0.37246513325233027,0.0607670858195124
4,0.95,1.0,0.5,0.08995462675067366,0.3694695292228318,0.5759428926938253,0.5759428926938253,0.7413432236612874,0.1654003309674621
4,0.95,1.0,0.75,0.13493194012601048,0.5319244190974545,0.7525056534775211,0.7525056534775211,1.0,0.24749434652247893
4,0.95,1.0,1.0,0.17990925350134732,0.6706081063397947,0.8145062499999999,0.8145062499999999,1.0,0.18549375000000012
4,1.0,0.7,0.25,0.04497731337533683,0.12102048301278955,0.09188229211085804,0.12102048301278955,0.27444799292276967,0.1534275099099801
4,1.0,0.7,0.5,0.08995462675067366,0.23846880611517324,0.16977633816289,0.23846880611517324,0.546252901645159,0.3077840955299858
4,1.0,0.7,0.75,0.13493194012601048,0.3490978265203183,0.2218234757559599,0.3490978265203183,0.8127970963124945,0.46369926979217624
4,1.0,0.7,1.0,0.17990925350134732,0.4502628170093338,0.24009999999999995,0.4502628170093338,1.0,0.5497371829906662
4,1.0,0.9,0.25,0.04497731337533683,0.16803482582253307,0.2510785999747354,0.2510785999747354,0.3528617051864182,0.10178310521168277
4,1.0,0.9,0.5,0.08995462675067366,0.32878465262929724,0.4639327591364938,0.4639327591364938,0.7023251592580617,0.23839240012156793
4,1.0,0.9,0.75,0.13493194012601048,0.4758034008552851,0.6061573612806552,0.6061573612806552,1.0,0.3938426387193448
4,1.0,0.9,1.0,0.17990925350134732,0.6041952807321024,0.6561,0.6561,1.0,0.3439
4,1.0,1.0,0.25,0.04497731337533683,0.19462571667129128,0.3826834323650898,0.3826834323650898,0.3920685613182424,0.009385128953152633
4,1.0,1.0,0.5,0.08995462675067366,0.3791673530499912,0.7071067811865475,0.7071067811865475,0.780361288064513,0.07325450687796553
4,1.0,1.0,0.75,0.13493194012601048,0.5447935027529248,0.9238795325112867,0.9238795325112867,1.0,0.07612046748871326
4,1.0,1.0,1.0,0.17990925350134732,0.6849890196602021,1.0,1.0,1.0,0.0
