mean_mode_loss,phase_parameter_sigma,repetition,response_rank,response_minimum_singular_value,completeness_residual,minimum_effect_eigenvalue,maximum_effect_error_from_ideal_detector_model,mean_realized_transmission
0.03,0.0,6,5,0.23303143861165532,2.335507086961005e-16,0.018383633111169244,0.03259078612354919,0.9694852461793805
0.03,0.0,7,5,0.23295758429181937,2.348744994343897e-16,0.018349593274574104,0.03481339830203021,0.9688365011427299
0.03,0.0,8,5,0.23296561210300581,2.369451835255584e-16,0.018376055400502384,0.035054239631695315,0.9690951911017976
0.03,0.0,9,5,0.23317417392293338,2.2625184173612305e-16,0.01837249234163861,0.03401566955662892,0.969914953086374
0.03,0.0,10,5,0.232489799945637,2.3222980370295575e-16,0.01834926656597499,0.03660428203583488,0.9668469046205175
0.03,0.0,11,5,0.23218882973569746,2.3170115523571813e-16,0.018337157957849858,0.039013819403254574,0.9664986151913847
0.03,0.0001,0,5,0.23235584031539652,2.330393196053277e-16,0.018227138861928355,0.045969687819867974,0.9669528363212699
0.03,0.0001,1,5,0.23274668194827117,2.275884816543446e-16,0.018349289770780434,0.03936981651983386,0.9679491355656453
0.03,0.0001,2,5,0.23260603803096483,2.3485434347853765e-16,0.018409032431016728,0.0366194988729708,0.9677568277070026
0.03,0.0001,3,5,0.23290896548333626,2.2545296083743783e-16,0.018440453884812996,0.03416983305063261,0.9690314670712223
0.03,0.0001,4,5,0.23248699127512168,1.147566367825816e-16,0.01836697438907814,0.034932666327938705,0.9669359246236403
0.03,0.0001,5,5,0.23223912969353883,2.3251572292785406e-16,0.01836145602221326,0.035297801453242864,0.9661977519689537
0.03,0.0001,6,5,0.23230911288172637,2.3243020928751604e-16,0.018282249483157487,0.039781698177282755,0.9660779881940282
0.03,0.0001,7,5,0.2330524677158178,2.2727886980752284e-16,0.01830407089820221,0.03582825104877095,0.969237476611771
0.03,0.0001,8,5,0.2330990396411473,2.284141141731611e-16,0.018317416985086366,0.03287283706385357,0.9702457402447057
0.03,0.0001,9,5,0.23277602280254323,2.311022134587603e-16,0.018326340349659867,0.034548360649235506,0.9680929638918234
